Market,Side,MPBin,Sample,Wins,MarketMean,EmpiricalHit,AverageOdd,CalibratedMarketP,Gap,Reliability,Level,Code
1X2,A,0.25,108,22,0.2635979449117338,0.2037037037037037,3.5417592592592593,0.2385259369641863,-0.05989424120803008,0.1,LEAGUE,G1
1X2,A,0.275,116,37,0.28694633061276065,0.31896551724137934,3.2523275862068965,0.30090958493200787,0.03201918662861869,0.10631014949041907,LEAGUE,G1
1X2,A,0.3,84,28,0.3102164972510623,0.3333333333333333,3.0058333333333334,0.3185148486652109,0.023116836082270997,0.1,LEAGUE,G1
1X2,D,0.175,92,11,0.1879320775687832,0.11956521739130435,4.9707608695652175,0.1619413703938739,-0.06836686017747884,0.1,LEAGUE,G1
1X2,D,0.2,108,24,0.21336286502887875,0.2222222222222222,4.372870370370371,0.21707143315632485,0.008859357193343464,0.1250332231574886,LEAGUE,G1
1X2,D,0.225,112,23,0.2377665599177941,0.20535714285714285,3.9193749999999996,0.2239121526246913,-0.03240941706065126,0.10218901342924021,LEAGUE,G1
1X2,D,0.25,177,39,0.26382393902011364,0.22033898305084745,3.5366666666666666,0.24028621055968513,-0.04348495596926619,0.14107461243166547,LEAGUE,G1
1X2,D,0.275,317,113,0.28836251261280527,0.35646687697160884,3.237602523659306,0.3345918134730638,0.06810436435880357,0.17136371352353405,LEAGUE,G1
1X2,D,0.3,355,118,0.312138383900213,0.3323943661971831,2.987295774647887,0.32637773779214246,0.02025598229697012,0.3688450654643292,LEAGUE,G1
1X2,D,0.325,93,37,0.3317922460787338,0.3978494623655914,2.8095698924731183,0.35707340292925954,0.06605721628685757,0.1,LEAGUE,G1
1X2,H,0.4,93,40,0.4133927175570224,0.43010752688172044,2.2576344086021507,0.41978974334795616,0.016714809324698043,0.10005752846669877,LEAGUE,G1
1X2,H,0.425,90,31,0.4370106090399313,0.34444444444444444,2.1332222222222224,0.4022982973166237,-0.09256616459548683,0.1,LEAGUE,G1
1X2,H,0.45,87,35,0.4613263458714359,0.40229885057471265,2.022758620689655,0.4396580248131451,-0.05902749529672324,0.1,LEAGUE,G1
OU25,O25,0.325,107,36,0.33994571921030015,0.3364485981308411,2.7535514018691587,0.3384897193834437,-0.0034971210794590424,0.1298521671301863,LEAGUE,G1
OU25,O25,0.35,160,58,0.36151928996860916,0.3625,2.591875,0.36202546288803666,0.0009807100313908301,0.1983654832810153,LEAGUE,G1
OU25,O25,0.375,221,78,0.38689646098925995,0.35294117647058826,2.4241176470588237,0.3666697281627736,-0.03395528451867169,0.19808210543097451,LEAGUE,G1
OU25,O25,0.4,198,75,0.4126369978882832,0.3787878787878788,2.2760606060606063,0.39337801633115654,-0.03384911910040439,0.17768619185541593,LEAGUE,G1
OU25,O25,0.425,156,76,0.43619744878601435,0.48717948717948717,2.1557692307692307,0.4621882918885692,0.05098203839347282,0.11215418761060666,LEAGUE,G1
OU25,O25,0.45,122,63,0.4616240740838342,0.5163934426229508,2.040245901639344,0.4861897467374086,0.054769368539116625,0.1,LEAGUE,G1
OU25,O25,0.475,106,49,0.48582486173230854,0.46226415094339623,1.939245283018868,0.47606925492127455,-0.02356071078891231,0.10648504850390933,LEAGUE,G1
OU25,U25,0.5,111,58,0.5135366185259035,0.5225225225225225,1.8345945945945947,0.5173582098807874,0.008985903996619027,0.12836004850390925,LEAGUE,G1
OU25,U25,0.525,122,59,0.5383759259161658,0.48360655737704916,1.7492622950819672,0.5138102532625914,-0.054769368539116625,0.1,LEAGUE,G1
OU25,U25,0.55,156,80,0.5638025512139857,0.5128205128205128,1.6676923076923076,0.5378117081114309,-0.05098203839347293,0.1121541876106065,LEAGUE,G1
OU25,U25,0.575,198,123,0.5873630021117169,0.6212121212121212,1.5987878787878789,0.6066219836688436,0.033849119100404335,0.17768619185541606,LEAGUE,G1
OU25,U25,0.6,216,140,0.612828157969322,0.6481481481481481,1.5300925925925926,0.6336727423371539,0.035319990178826144,0.19053002209764117,LEAGUE,G1
OU25,U25,0.625,165,105,0.6380722036668033,0.6363636363636364,1.4681818181818183,0.6371772398413349,-0.0017085673031669302,0.20331339994768183,LEAGUE,G1
OU25,U25,0.65,107,71,0.6600542807896999,0.6635514018691588,1.4177570093457943,0.6615102806165564,0.003497121079458987,0.12985216713018635,LEAGUE,G1
1X2,A,0.075,98,12,0.0891389070928818,0.12244897959183673,10.806530612244897,0.10230175832230753,0.03331007249895493,0.1,LEAGUE,I1
1X2,A,0.1,118,7,0.1120228200776932,0.059322033898305086,8.566101694915254,0.08881874258079843,-0.05270078617938811,0.1,LEAGUE,I1
1X2,A,0.125,117,18,0.13741804792215562,0.15384615384615385,6.974102564102564,0.1446168808551436,0.016428105923998237,0.12622824590512713,LEAGUE,I1
1X2,A,0.15,115,13,0.163611687964525,0.11304347826086956,5.848434782608696,0.14166699318746698,-0.05056820970365543,0.1,LEAGUE,I1
1X2,A,0.175,127,20,0.18669919418215705,0.15748031496062992,5.127559055118111,0.17330281273402007,-0.029218879221527133,0.1200958576965214,LEAGUE,I1
1X2,A,0.2,121,24,0.21158235103286419,0.19834710743801653,4.5199173553719,0.20567288802557057,-0.013235243594847651,0.13456807838566076,LEAGUE,I1
1X2,A,0.225,118,21,0.23802533876675505,0.17796610169491525,4.018983050847457,0.21158134632467634,-0.0600592370718398,0.1,LEAGUE,I1
1X2,A,0.25,116,24,0.2617898403538211,0.20689655172413793,3.6535344827586207,0.23785141373335777,-0.05489328862968315,0.1,LEAGUE,I1
1X2,A,0.275,136,36,0.28746373798532543,0.2647058823529412,3.3252941176470587,0.2766418206216742,-0.02275785563238425,0.13775970452078898,LEAGUE,I1
1X2,A,0.3,130,33,0.3128763534973432,0.25384615384615383,3.053769230769231,0.2854694750878624,-0.059030199651189386,0.1,LEAGUE,I1
1X2,A,0.325,115,34,0.3371542170035237,0.2956521739130435,2.834608695652174,0.3191438964170889,-0.04150204309048022,0.1,LEAGUE,I1
1X2,A,0.35,91,31,0.36185007548839226,0.34065934065934067,2.6429670329670327,0.35384859470231883,-0.021190734829051594,0.1,LEAGUE,I1
1X2,A,0.375,99,35,0.38711069341962645,0.35353535353535354,2.4681818181818183,0.37376146189937337,-0.033575339884272914,0.1,LEAGUE,I1
1X2,A,0.425,84,40,0.4377939032294047,0.47619047619047616,2.1836904761904763,0.4515772883949175,0.03839657296107146,0.1,LEAGUE,I1
1X2,D,0.15,102,18,0.16345745300514028,0.17647058823529413,5.857352941176471,0.1687246744078216,0.01301313523015385,0.11367354381796153,LEAGUE,I1
1X2,D,0.175,167,30,0.18766841972908407,0.17964071856287425,5.0983832335329335,0.1834393153292196,-0.008027701166209822,0.19478514484628082,LEAGUE,I1
1X2,D,0.2,231,47,0.21268869223559422,0.20346320346320346,4.495757575757576,0.2070952856570581,-0.009225488772390766,0.2665511676414347,LEAGUE,I1
1X2,D,0.225,309,70,0.23882902750267485,0.22653721682847897,4.004174757281553,0.23055414842135344,-0.01229181067419588,0.346685734392432,LEAGUE,I1
1X2,D,0.25,514,167,0.2635720675502987,0.32490272373540857,3.628054474708171,0.3110479068261217,0.061330656185109855,0.31412544500889095,LEAGUE,I1
1X2,D,0.275,617,179,0.28693120806995825,0.2901134521880065,3.3328200972447326,0.2894911097920388,0.0031822441180482386,0.7507974518662941,LEAGUE,I1
1X2,D,0.3,185,64,0.3087392061722508,0.34594594594594597,3.096324324324325,0.32928621171891825,0.03720673977369515,0.15954951189444164,LEAGUE,I1
1X2,H,0.175,88,11,0.1872996616466459,0.125,5.110795454545454,0.1642644926344407,-0.06229966164664591,0.1,LEAGUE,I1
1X2,H,0.2,91,15,0.21271961872605316,0.16483516483516483,4.498021978021978,0.1946387668419418,-0.04788445389088833,0.1,LEAGUE,I1
1X2,H,0.25,98,16,0.2616999252579935,0.16326530612244897,3.6563265306122448,0.22280237414797996,-0.09843461913554455,0.1,LEAGUE,I1
1X2,H,0.275,97,23,0.28728953361282117,0.23711340206185566,3.327938144329897,0.2675847370118347,-0.05017613155096551,0.1,LEAGUE,I1
1X2,H,0.3,85,27,0.3129957709876493,0.3176470588235294,3.0547058823529407,0.31467815169424423,0.004651287835880091,0.10213167222864783,LEAGUE,I1
1X2,H,0.325,122,40,0.33731848717407387,0.32786885245901637,2.8335245901639343,0.3330800480739378,-0.009449634715057498,0.1404910892162811,LEAGUE,I1
1X2,H,0.35,93,38,0.3621413300904344,0.40860215053763443,2.6395698924731184,0.3799226317430665,0.04646082044720001,0.1,LEAGUE,I1
1X2,H,0.375,110,37,0.3878006060436438,0.33636363636363636,2.4633636363636366,0.36603881117902526,-0.05143696968000744,0.1,LEAGUE,I1
1X2,H,0.4,114,48,0.41223362383610496,0.42105263157894735,2.317982456140351,0.4160418317250596,0.008819007742842389,0.13202742830537464,LEAGUE,I1
1X2,H,0.425,108,56,0.4371932517425052,0.5185185185185185,2.1860185185185186,0.47123638667199913,0.08132526677601332,0.1,LEAGUE,I1
1X2,H,0.45,99,37,0.4614762307688065,0.37373737373737376,2.071919191919192,0.42659210688883925,-0.08773885703143275,0.1,LEAGUE,I1
1X2,H,0.525,88,45,0.5374191295003492,0.5113636363636364,1.7780681818181818,0.5277851656514806,-0.02605549313671285,0.1,LEAGUE,I1
1X2,H,0.575,86,55,0.5858446558417519,0.6395348837209303,1.6312790697674417,0.6054097388824695,0.05369022787917832,0.1,LEAGUE,I1
OU25,O25,0.4,109,47,0.4142332893553166,0.43119266055045874,2.296880733944954,0.42137063090076254,0.016959371195142126,0.11699404728884905,LEAGUE,I1
OU25,O25,0.425,175,73,0.43797405840299364,0.41714285714285715,2.1754285714285713,0.4267572577244586,-0.02083120126013649,0.1807764560362095,LEAGUE,I1
OU25,O25,0.45,214,95,0.4628985762086858,0.4439252336448598,2.057757009345794,0.4517439187673156,-0.01897334256382599,0.22520525720147122,LEAGUE,I1
