Market,Side,Bin,Sample,Wins,RawMean,EmpiricalHit,CalibratedProbability,CalibrationGap,Reliability,Level,Code
1X2,D,0.3,238,73,0.31676329130479103,0.3067226890756303,0.30924862674334364,0.010040602229160756,0.4441378222594632,LEAGUE,T1
1X2,H,0.15,95,19,0.1758811187831641,0.2,0.18897422572944647,0.02411888121683592,0.15944941712534116,LEAGUE,T1
1X2,H,0.2,163,41,0.22667305461625453,0.25153374233128833,0.24334915378312907,0.024860687715033802,0.27196943869932655,LEAGUE,T1
1X2,H,0.25,192,50,0.2781414647990033,0.2604166666666667,0.26562984258794214,0.017724798132336628,0.33862451678121824,LEAGUE,T1
1X2,H,0.3,270,120,0.32640456695764425,0.4444444444444444,0.41746390101889014,0.11803987748680017,0.11505644104751939,LEAGUE,T1
1X2,H,0.35,273,126,0.37571079581796957,0.46153846153846156,0.4420874324799931,0.085827665720492,0.23358729677740914,LEAGUE,T1
1X2,H,0.4,262,112,0.42435666692056284,0.42748091603053434,0.4267500975252778,0.0031242491099714997,0.5130859564424995,LEAGUE,T1
1X2,H,0.45,211,96,0.474011051801124,0.4549763033175355,0.460209223862852,0.019034748483588493,0.3684489075995043,LEAGUE,T1
1X2,H,0.5,192,111,0.5236131957133865,0.578125,0.5620921163862901,0.05451180428661351,0.24444978102626944,LEAGUE,T1
1X2,H,0.55,129,85,0.5745884354952431,0.6589147286821705,0.6266367217206672,0.08432629318692741,0.11295877571848485,LEAGUE,T1
1X2,H,0.6,93,69,0.6231187086232064,0.7419354838709677,0.6869913103459914,0.11881677524776135,0.1,LEAGUE,T1
BTTS,BTTS_N,0.3,130,58,0.3286517047290813,0.4461538461538462,0.4013911256110786,0.1175021414247649,0.1,LEAGUE,T1
BTTS,BTTS_N,0.35,339,135,0.37690571033062664,0.39823008849557523,0.3941586081776853,0.021324378164948588,0.5816138106944324,LEAGUE,T1
BTTS,BTTS_N,0.4,473,219,0.426477959592766,0.4630021141649049,0.457718330501666,0.03652415457213887,0.7156543318317108,LEAGUE,T1
BTTS,BTTS_N,0.45,425,180,0.4751567878328454,0.4235294117647059,0.43170800599332204,0.0516273760681395,0.5574448689472095,LEAGUE,T1
BTTS,BTTS_N,0.5,350,145,0.5235210814003528,0.4142857142857143,0.4346085732837866,0.10923536711463849,0.19023495346502034,LEAGUE,T1
BTTS,BTTS_N,0.55,187,93,0.5711263013979402,0.49732620320855614,0.5194385921791581,0.07380009818938404,0.18999175518113576,LEAGUE,T1
BTTS,BTTS_N,0.6,87,40,0.6211003831740018,0.45977011494252873,0.537054075771977,0.16133026823147312,0.1,LEAGUE,T1
BTTS,BTTS_Y,0.35,87,47,0.3788996168259982,0.5402298850574713,0.46294592422802305,0.16133026823147306,0.1,LEAGUE,T1
