Level,Code,Market,Side,ProbBin,Sample,Wins,MeanPred,HitRate,Brier,CalibrationGap
LIGA,T1,1X2,H,0.7,50,32,0.7261144097808687,0.64,0.23573084728554441,0.0861144097808687
LIGA,T1,1X2,H,0.75,27,23,0.7714164716413414,0.8518518518518519,0.1281471349954973,0.08043538021051044
LIGA,T1,1X2,H,0.8,65,53,0.8277995084908972,0.8153846153846154,0.15093676522952815,0.012414893106281855
LIGA,T1,1X2,H,0.85,24,21,0.8775074149567432,0.875,0.10986980994231077,0.002507414956743226
LIGA,T1,1X2,H,0.9,6,5,0.9026172881603117,0.8333333333333334,0.14342670125111798,0.06928395482697836
LIGA,T1,OU25,O25,0.3,5,0,0.33630422371306407,0.0,0.11315761806973264,0.33630422371306407
LIGA,T1,OU25,O25,0.35,14,5,0.3857070163415827,0.35714285714285715,0.22908814067800004,0.02856415919872557
LIGA,T1,OU25,O25,0.4,105,40,0.43151766167704053,0.38095238095238093,0.239579883228674,0.0505652807246596
LIGA,T1,OU25,O25,0.45,307,145,0.4784832771229851,0.4723127035830619,0.24969066016339656,0.00617057353992323
LIGA,T1,OU25,O25,0.5,299,148,0.522059259818705,0.49498327759197325,0.25012847347796396,0.0270759822267318
LIGA,T1,OU25,O25,0.55,181,104,0.5728786230306295,0.574585635359116,0.2438304322121533,0.001707012328486468
LIGA,T1,OU25,O25,0.6,134,80,0.6262073285402268,0.5970149253731343,0.24247701261165272,0.029192403167092484
LIGA,T1,OU25,O25,0.65,114,88,0.6755255617309737,0.7719298245614035,0.18516282019877758,0.0964042628304298
LIGA,T1,OU25,O25,0.7,66,40,0.7194353789420631,0.6060606060606061,0.2505604615444919,0.11337477288145703
LIGA,T1,OU25,O25,0.75,50,40,0.7743639383556088,0.8,0.15982391637554258,0.02563606164439125
LIGA,T1,OU25,O25,0.8,26,23,0.818417558126725,0.8846153846153846,0.1066291674587169,0.06619782648865957
LIGA,T1,OU25,O25,0.85,6,6,0.8803177980878085,1.0,0.014418204249162583,0.11968220191219148
LIGA,T1,OU25,U25,0.1,5,0,0.1419583087973295,0.0,0.02018584626205725,0.1419583087973295
LIGA,T1,OU25,U25,0.15,4,0,0.1815925544333806,0.0,0.03328738662792262,0.1815925544333806
LIGA,T1,OU25,U25,0.2,38,4,0.23200028144074006,0.10526315789473684,0.11051738913518892,0.12673712354600322
LIGA,T1,OU25,U25,0.25,42,13,0.2741948837605981,0.30952380952380953,0.21227154211650928,0.03532892576321145
LIGA,T1,OU25,U25,0.3,132,36,0.3269528049485969,0.2727272727272727,0.2021369467228541,0.0542255322213242
LIGA,T1,OU25,U25,0.35,138,50,0.37365207402920403,0.36231884057971014,0.23033509070889108,0.011333233449493885
LIGA,T1,OU25,U25,0.4,210,88,0.42645184671692377,0.41904761904761906,0.2448094183624868,0.007404227669304708
LIGA,T1,OU25,U25,0.45,298,152,0.4768256848884482,0.5100671140939598,0.25097851375733965,0.0332414292055116
LIGA,T1,OU25,U25,0.5,287,148,0.5207947766991577,0.5156794425087108,0.25025448131194256,0.005115334190446963
LIGA,T1,OU25,U25,0.55,114,70,0.5705428216639463,0.6140350877192983,0.23964586483113187,0.04349226605535195
LIGA,T1,OU25,U25,0.6,31,20,0.6186529536754816,0.6451612903225806,0.23044181605302747,0.026508336647099062
LIGA,T1,OU25,U25,0.65,7,6,0.6730468746070517,0.8571428571428571,0.15325641052539635,0.1840959825358054
LIGA,T1,OU25,U25,0.7,1,1,0.7060508019831602,1.0,0.08640613101474331,0.29394919801683983
LIGA,USA,1X2,A,0.05,38,3,0.08717264448706814,0.07894736842105263,0.07374910378681267,0.008225276066015516
